temperatura,vibracao,corrente,tensao,rotacao,pressao,ruido,horas_operacao,carga_trabalho,status_maquina
65.35,2.24,13.29,211.19,2771.41,7.74,63.45,388.05,47.93,0
68.1,3.38,16.43,217.33,2850.47,5.88,70.31,332.42,72.25,0
78.87,3.17,23.63,201.01,2750.09,4.97,81.56,2056.09,81.72,1
53.07,1.27,11.27,215.32,2853.29,7.19,71.85,84.13,53.83,0
48.69,3.46,14.67,220.99,2921.18,6.03,64.3,337.54,54.39,0
100.92,10.46,36.32,196.16,2262.4,2.53,86.0,4039.55,91.76,2
43.52,1.43,17.96,219.99,2821.56,6.65,63.48,252.45,40.81,0
68.12,3.19,16.22,216.83,2757.71,7.7,60.23,1133.7,57.12,0
53.76,0.8,10.2,219.93,2900.61,5.91,64.21,28.45,69.22,0
74.74,1.22,20.49,222.46,2806.16,6.5,67.37,1173.86,46.33,0
52.15,3.3,21.07,217.54,2831.97,7.34,60.66,569.72,51.77,0
124.44,6.75,28.83,192.09,2382.3,2.38,112.46,2664.21,98.44,2
51.75,3.44,20.28,220.52,2931.76,6.91,77.05,595.51,53.32,0
43.69,2.55,17.93,224.26,2932.42,5.63,75.92,1035.21,55.52,0
41.74,1.27,15.58,213.4,2935.98,7.8,67.63,410.56,73.65,0
62.88,1.66,17.77,210.67,2763.51,6.64,69.89,1065.38,43.66,0
82.81,4.7,20.29,201.27,2729.08,4.64,75.0,1014.53,87.22,1
43.34,2.37,15.42,218.8,2792.0,7.34,75.53,260.09,43.35,0
73.65,1.24,15.4,210.33,2910.18,6.53,64.86,248.2,62.89,0
78.49,4.77,23.9,203.84,2712.71,4.73,81.51,1524.58,74.82,1
84.14,4.29,20.6,208.23,2644.99,5.71,79.44,1288.36,71.71,1
73.22,2.83,13.42,222.66,2858.1,7.57,74.81,226.64,64.54,0
75.5,3.88,22.61,201.03,2642.39,5.43,84.12,1788.08,82.76,1
54.53,0.77,15.25,213.46,2822.8,7.43,61.36,993.1,54.97,0
73.66,1.44,11.18,217.9,2764.27,5.78,63.95,557.22,55.16,0
84.17,5.33,24.66,212.34,2553.32,5.58,80.43,1598.76,71.3,1
64.34,0.82,17.98,214.29,2799.73,7.84,60.33,525.33,40.76,0
55.69,2.03,17.52,223.9,2754.78,6.69,72.38,867.25,64.24,0
77.6,4.93,22.29,203.63,2592.26,6.05,75.82,1544.5,79.12,1
43.75,2.84,20.92,215.74,2907.66,6.58,67.88,372.45,66.67,0
48.45,2.03,14.56,216.73,2995.16,6.38,68.14,160.22,41.68,0
40.18,1.78,12.37,223.66,2793.65,6.22,69.3,316.04,47.35,0
73.88,2.76,19.73,210.49,2866.96,7.12,74.94,59.13,69.84,0
67.54,1.45,18.26,216.56,2813.67,7.6,60.69,1082.11,56.15,0
40.89,2.57,13.79,210.84,2902.45,6.1,66.96,96.7,45.15,0
68.78,3.05,12.54,219.86,2868.07,7.7,63.88,813.38,61.27,0
44.58,2.53,16.72,221.85,2934.7,7.06,77.75,640.31,43.96,0
51.98,3.44,17.56,216.24,2791.63,7.97,74.78,337.77,42.45,0
57.05,1.79,17.16,224.99,2942.36,6.49,74.9,204.85,41.07,0
94.92,4.06,22.44,210.65,2640.97,6.17,80.36,1863.47,71.93,1
45.6,2.57,12.01,214.65,2875.84,7.49,73.31,774.64,45.45,0
46.36,0.76,18.57,212.94,2922.52,6.48,67.48,563.01,52.87,0
71.12,2.24,17.59,212.35,2868.48,7.29,64.88,242.71,50.98,0
59.05,1.1,17.4,221.14,2934.48,6.8,61.23,445.34,72.23,0
52.46,2.87,12.8,219.59,2808.92,7.28,75.73,152.16,70.33,0
67.91,2.66,11.03,216.96,2793.49,6.34,60.33,480.4,59.25,0
72.2,4.94,25.93,202.73,2657.59,4.83,83.89,1642.42,81.44,1
74.72,2.56,20.1,216.22,2941.97,5.6,62.21,243.68,54.07,0
46.7,1.72,21.24,215.66,2916.02,6.14,62.29,70.24,50.69,0
54.48,2.75,18.32,224.86,2819.47,6.75,65.93,528.72,69.99,0
54.88,1.33,13.18,218.04,2862.29,6.6,61.64,862.32,47.48,0
70.77,1.23,16.69,210.58,2916.71,6.31,76.16,1065.74,51.39,0
52.23,2.73,19.08,220.0,2808.51,6.97,70.27,581.12,59.25,0
93.4,5.35,21.22,213.12,2734.36,5.01,74.94,1321.6,86.42,1
86.71,4.55,23.24,205.7,2765.83,5.54,80.71,1030.77,76.14,1
70.68,3.16,23.25,213.64,2684.68,5.5,75.48,1788.14,84.8,1
45.86,2.84,17.01,224.28,2760.61,6.16,70.83,355.87,65.0,0
62.35,1.69,13.29,224.76,2852.33,7.74,64.14,255.73,41.09,0
67.37,2.63,10.43,214.55,2815.78,6.4,61.58,1124.35,59.38,0
55.08,1.25,17.41,220.6,2791.76,5.92,60.66,883.68,63.23,0
90.67,5.99,36.58,189.83,2277.14,1.87,91.67,3298.06,94.12,2
68.26,0.83,14.77,215.05,2892.37,7.65,61.41,87.09,69.76,0
55.39,1.34,19.58,214.89,2824.85,6.08,62.33,307.76,52.44,0
69.61,2.71,12.54,212.18,2829.07,7.94,64.62,547.35,41.05,0
54.09,3.17,14.61,221.05,2868.99,5.81,76.7,544.92,65.71,0
123.93,9.16,25.92,188.79,2485.66,4.45,103.53,3611.06,85.43,2
72.94,3.13,11.23,215.89,2888.34,6.76,63.49,1030.58,63.69,0
70.04,3.37,15.99,223.97,2895.83,6.85,68.18,251.15,40.13,0
54.11,2.76,16.38,220.16,2857.11,7.33,74.84,175.72,69.15,0
68.18,3.05,16.61,222.39,2825.88,6.5,65.7,560.86,50.0,0
66.47,1.88,13.47,223.5,2779.03,7.89,65.65,1066.08,61.1,0
49.26,2.04,16.88,223.89,2911.34,6.54,76.75,941.86,47.0,0
68.29,0.71,14.02,214.71,2908.91,6.39,62.67,715.76,68.5,0
52.6,1.9,18.28,223.26,2801.75,7.8,74.67,1174.63,70.81,0
56.6,1.18,17.4,210.61,2831.54,6.67,62.66,1181.59,47.32,0
51.44,0.53,19.92,222.01,2776.11,6.94,68.35,142.45,74.32,0
40.82,1.79,20.5,214.52,2773.64,7.4,70.91,684.38,41.88,0
64.82,0.82,16.81,213.85,2990.73,6.71,74.51,660.27,41.52,0
62.57,3.05,17.31,222.8,2816.15,6.8,68.11,13.97,59.49,0
73.89,2.12,15.5,224.18,2918.4,5.66,68.38,288.29,56.44,0
90.08,3.11,26.94,201.96,2749.02,5.29,80.89,2056.78,77.43,1
45.84,0.86,11.02,223.64,2798.41,6.54,68.08,718.81,42.51,0
47.94,3.29,20.9,221.72,2754.85,6.32,71.3,330.23,71.84,0
56.51,1.99,18.79,211.32,2917.05,7.74,61.04,168.78,65.08,0
49.79,1.07,16.05,222.98,2810.34,5.7,66.42,897.18,59.27,0
67.05,1.21,18.13,218.49,2982.29,6.47,61.19,22.99,68.94,0
44.74,2.06,11.35,224.01,2795.89,6.13,67.32,459.8,67.81,0
81.67,4.21,25.89,203.32,2645.25,6.12,85.53,1461.53,78.26,1
47.51,0.7,17.14,221.08,2758.11,7.15,69.58,123.92,46.04,0
73.93,1.63,10.74,215.09,2876.48,5.9,71.85,1197.3,55.81,0
61.53,3.28,21.54,217.63,2863.21,6.2,77.26,171.38,60.29,0
66.79,0.98,17.32,212.03,2937.84,7.14,77.22,82.75,42.0,0
79.33,3.37,23.91,213.76,2647.87,6.19,74.0,1202.22,70.55,1
56.95,2.88,16.92,215.13,2952.49,6.1,64.04,605.4,49.13,0
42.15,2.94,21.29,219.73,2988.64,5.88,68.59,722.17,60.36,0
53.57,2.91,20.82,213.05,2766.74,7.69,67.01,650.11,73.88,0
65.98,1.01,12.34,223.36,2937.49,7.77,73.66,716.59,62.89,0
50.33,2.7,20.46,212.89,2774.4,7.74,66.3,661.58,52.58,0
44.45,1.57,17.11,222.53,2760.92,6.09,76.02,11.0,47.05,0
52.17,2.36,16.54,211.88,2822.43,6.1,63.84,493.37,64.64,0
63.33,1.35,17.03,218.8,2861.43,7.59,64.77,538.36,58.82,0
41.6,3.34,20.11,214.45,2769.3,5.92,62.28,147.94,58.15,0
63.7,2.55,17.54,213.99,2759.75,6.64,76.04,683.4,69.13,0
54.28,2.56,13.0,219.6,2969.37,6.55,76.4,1191.8,43.71,0
69.83,2.5,17.12,223.38,2796.33,5.7,64.31,953.49,41.21,0
46.53,0.58,13.41,216.65,2904.28,7.62,63.53,150.66,73.72,0
60.83,3.12,16.92,215.18,2950.75,6.85,61.43,679.02,71.78,0
49.8,0.82,11.35,214.37,2903.55,7.51,76.19,748.5,40.2,0
45.74,2.71,13.61,216.95,2899.86,5.93,73.35,363.17,63.18,0
79.08,5.11,22.93,206.61,2708.56,6.05,74.47,1711.79,73.36,1
71.55,1.31,19.64,224.93,2813.17,6.59,69.36,353.92,40.53,0
49.19,0.66,12.77,222.03,2962.87,6.71,67.49,1173.42,47.02,0
74.34,2.21,13.11,216.55,2898.39,5.68,71.2,1177.41,46.65,0
69.69,1.77,13.64,214.88,2928.16,7.54,63.27,445.13,71.57,0
88.13,3.28,22.85,213.3,2561.8,6.42,83.51,1757.65,74.87,1
51.81,3.11,11.0,213.17,2938.12,5.63,68.87,530.53,51.7,0
71.24,1.76,19.36,217.15,2874.38,6.01,70.64,223.36,51.6,0
65.45,3.44,11.87,213.38,2802.95,7.48,63.36,79.99,74.95,0
50.91,2.02,15.27,211.58,2910.21,6.04,71.15,780.24,45.32,0
67.91,1.43,15.46,210.17,2768.11,6.48,68.64,720.02,50.21,0
71.42,3.3,24.07,213.93,2674.19,6.19,80.24,1850.3,83.17,1
59.33,0.65,10.53,220.81,2861.12,6.14,63.43,803.94,40.01,0
57.57,1.86,19.04,211.99,2886.73,6.87,61.61,501.58,69.86,0
83.44,3.06,23.11,211.72,2720.01,5.77,86.73,1021.64,80.03,1
55.94,2.25,14.28,212.46,2875.93,7.58,71.95,406.04,72.74,0
94.52,4.21,26.04,208.83,2643.83,5.07,76.85,1914.16,76.96,1
64.06,2.4,19.73,210.67,2824.11,6.2,62.63,347.01,50.84,0
47.61,1.6,14.69,224.65,2988.67,7.5,64.35,81.64,51.09,0
67.14,2.21,19.13,212.25,2892.96,6.13,64.11,13.83,44.56,0
44.78,2.59,14.85,216.42,2929.4,7.23,77.84,154.07,43.64,0
57.93,0.81,14.61,217.32,2913.06,7.88,70.81,892.31,57.72,0
72.98,2.77,12.5,215.07,2952.42,7.24,73.78,529.44,65.08,0
54.57,1.04,18.27,218.48,2964.67,5.79,74.14,808.22,44.03,0
71.37,2.92,10.04,214.8,2855.44,6.07,63.59,45.34,62.52,0
54.91,3.0,19.67,213.36,2806.52,7.54,76.75,114.43,55.75,0
66.2,2.98,19.25,210.58,2798.53,6.84,76.83,1001.95,69.49,0
80.72,4.35,24.88,210.53,2592.92,5.5,79.77,2044.63,81.37,1
52.9,3.38,19.85,222.81,2793.05,6.18,65.14,325.09,69.94,0
43.48,2.31,11.45,211.18,2881.83,6.51,70.6,107.07,55.08,0
97.44,8.98,30.35,193.05,2542.29,4.63,112.28,2784.7,95.37,2
46.58,2.37,14.04,213.17,2828.3,5.95,76.23,476.62,48.58,0
56.27,2.11,21.94,215.99,2903.85,6.41,67.07,834.77,72.83,0
43.29,2.52,15.33,223.02,2794.29,7.23,75.09,1133.54,63.91,0
57.65,1.89,13.04,217.58,2757.62,5.83,75.96,902.02,54.8,0
72.04,0.6,18.37,214.46,2981.1,7.93,77.0,569.06,70.17,0
72.02,1.51,21.43,218.0,2907.89,6.86,62.33,450.99,43.47,0
44.14,0.5,18.55,215.35,2813.62,5.53,69.73,1021.38,73.52,0
63.13,1.47,15.78,219.26,2851.23,6.0,77.31,613.76,65.69,0
74.35,3.9,24.46,201.06,2640.39,5.57,87.95,1569.44,84.69,1
40.48,0.74,13.1,210.42,2907.84,6.57,69.87,209.58,50.36,0
51.58,1.31,16.14,216.6,2878.11,7.18,66.97,301.57,45.82,0
57.87,1.28,13.8,211.3,2825.8,7.92,77.0,401.85,59.98,0
83.18,4.4,21.2,202.97,2629.7,5.69,76.94,1139.6,87.46,1
72.61,4.59,24.95,200.47,2784.05,4.6,81.58,1850.87,85.68,1
57.46,2.35,18.43,218.39,2752.44,6.32,69.32,105.44,52.27,0
73.07,2.71,20.6,213.04,2896.9,7.25,72.24,489.78,40.54,0
47.68,2.62,19.39,216.83,2924.52,6.47,62.88,477.78,60.3,0
76.17,4.21,25.23,207.11,2564.46,6.42,87.2,1942.23,87.84,1
53.81,2.09,11.94,218.58,2951.36,7.4,62.77,179.1,49.39,0
69.56,1.46,19.95,210.56,2899.07,6.08,62.17,92.34,64.37,0
74.76,0.63,19.13,215.58,2848.11,7.39,76.53,1141.11,60.2,0
55.33,1.53,16.56,211.37,2939.16,6.96,63.36,225.88,46.45,0
79.87,3.84,21.45,205.67,2629.17,5.85,78.05,1692.64,71.19,1
49.51,1.07,12.22,215.13,2857.49,7.58,62.16,881.91,58.6,0
68.09,1.87,15.8,212.0,2770.15,7.32,68.94,524.22,65.53,0
53.37,0.9,12.36,213.56,2824.97,7.11,70.82,835.3,52.69,0
45.12,1.6,10.82,210.39,2783.79,7.91,69.89,1158.99,55.14,0
73.59,1.96,11.32,218.22,2863.59,7.61,61.77,585.89,45.25,0
71.13,1.61,12.34,217.34,2935.41,6.73,68.7,1005.88,52.65,0
52.87,1.74,19.93,221.0,2942.33,5.53,67.49,577.61,40.67,0
55.19,1.33,20.44,219.07,2903.52,6.83,61.65,534.02,74.98,0
94.71,3.97,20.33,212.02,2701.1,4.9,80.93,1890.77,83.87,1
53.9,2.21,21.44,217.75,2954.78,6.87,60.73,378.01,60.14,0
67.37,2.8,18.3,224.48,2848.39,5.83,72.09,875.17,60.13,0
50.8,2.22,13.9,210.59,2818.0,5.52,77.61,1158.9,53.83,0
50.01,2.42,13.77,224.37,2758.36,6.95,63.0,854.66,46.16,0
57.24,3.24,15.87,216.75,2799.85,6.27,60.76,760.24,48.7,0
93.59,3.25,21.86,207.43,2761.63,5.51,84.47,1166.75,74.54,1
61.56,1.2,10.29,223.05,2755.32,7.69,69.52,1126.88,67.96,0
87.64,4.68,22.76,200.02,2580.04,5.57,83.45,1500.94,83.15,1
72.95,2.53,14.36,224.07,2818.89,6.33,72.61,918.38,72.53,0
69.42,2.7,16.51,218.86,2877.09,6.24,70.17,826.66,70.57,0
71.53,3.49,19.9,222.67,2812.25,6.94,61.21,113.9,74.96,0
48.18,2.41,19.84,210.62,2874.53,7.22,64.54,369.33,61.48,0
91.14,3.87,24.58,210.64,2696.55,5.21,82.08,1410.72,71.51,1
42.41,3.49,13.47,212.24,2810.25,7.84,69.36,437.78,70.57,0
43.44,3.37,17.19,220.93,2828.84,6.48,64.26,116.36,46.27,0
83.19,4.64,21.63,212.97,2627.34,5.89,74.23,1447.19,76.33,1
67.91,2.53,16.56,217.13,2980.61,5.68,65.05,419.93,67.38,0
64.07,1.32,18.84,210.77,2762.32,6.47,66.36,378.76,57.19,0
90.16,4.15,20.36,211.79,2600.34,5.02,76.31,1396.26,83.62,1
60.17,2.88,13.89,220.74,2783.85,6.23,62.6,973.48,47.79,0
58.64,0.85,17.27,211.76,2834.3,5.86,72.46,247.5,53.72,0
72.59,4.64,26.35,202.53,2792.08,5.41,87.24,1812.18,75.43,1
43.13,1.75,20.55,224.17,2866.85,7.03,63.01,1189.4,48.11,0
44.7,3.37,16.36,213.63,2875.15,7.2,61.37,329.64,68.24,0
66.84,1.3,17.09,220.82,2985.32,7.7,69.27,929.58,59.68,0
61.53,1.42,17.49,217.91,2856.52,5.83,75.96,539.74,46.81,0
41.09,3.11,11.66,211.91,2793.92,7.9,72.48,961.65,53.92,0
64.98,1.12,16.83,223.02,2858.03,7.92,68.14,171.34,53.63,0
50.45,2.41,13.46,213.54,2932.63,5.6,61.71,8.15,45.35,0
48.69,2.62,15.13,216.64,2912.33,7.84,61.15,989.69,50.23,0
59.99,0.93,14.49,221.97,2841.85,5.72,70.02,1014.15,67.86,0
41.31,0.88,19.19,210.0,2854.14,6.81,60.98,1167.69,47.91,0
111.14,10.23,37.99,197.16,2302.35,2.29,92.71,3198.64,90.51,2
59.48,1.58,20.94,210.31,2828.94,5.64,73.8,842.53,51.6,0
60.71,1.08,18.0,219.35,2900.62,6.72,69.52,401.33,58.18,0
54.13,2.71,18.45,216.34,2836.63,6.49,64.76,246.4,56.91,0
44.05,3.34,18.8,219.56,2911.32,7.57,61.92,605.71,64.4,0
61.83,1.07,15.63,220.8,2882.36,6.49,65.8,732.47,72.87,0
79.41,3.91,20.37,210.28,2659.05,4.89,85.42,1963.07,78.76,1
56.24,0.9,21.13,223.02,2926.91,5.77,73.97,969.55,66.87,0
120.98,5.52,32.0,203.26,2293.99,4.4,89.01,4338.49,96.27,2
52.42,1.7,11.38,223.25,2853.71,6.47,71.87,530.44,62.69,0
51.42,2.77,14.73,219.12,2861.14,7.36,64.11,70.15,50.5,0
42.48,2.29,13.17,217.91,2879.37,7.81,69.88,699.6,54.06,0
67.13,1.53,17.53,212.88,2786.51,7.85,76.52,1064.96,61.89,0
80.44,4.05,25.16,203.58,2577.62,5.21,78.02,1355.57,74.2,1
52.11,0.96,10.31,219.69,2909.23,6.35,61.29,491.55,50.89,0
60.6,1.13,12.84,219.42,2957.48,6.54,64.65,1040.41,63.42,0
59.1,1.11,13.5,221.23,2870.65,6.04,77.41,858.15,73.5,0
71.84,0.52,19.73,224.23,2772.83,5.9,77.29,645.05,40.5,0
44.29,2.4,11.49,211.06,2977.36,5.98,74.78,653.56,42.72,0
43.35,3.27,16.82,215.46,2939.13,6.14,72.48,47.65,69.38,0
52.11,1.54,15.63,215.01,2776.84,5.86,60.6,564.3,73.41,0
52.64,1.73,18.16,210.85,2758.67,6.48,72.55,232.12,62.45,0
40.77,2.91,19.46,214.46,2783.91,5.86,72.55,771.37,67.4,0
48.13,2.1,12.39,217.63,2789.34,7.18,73.57,132.47,56.37,0
71.71,0.88,12.14,217.4,2770.48,5.99,76.99,1171.79,53.17,0
76.84,5.45,24.17,210.65,2551.84,5.54,74.53,1683.08,86.57,1
85.83,4.8,21.8,210.79,2557.03,5.25,82.77,1175.32,84.81,1
103.66,8.47,36.85,196.08,2187.25,2.83,110.29,3610.53,94.76,2
91.24,4.2,22.61,207.4,2694.78,4.88,86.61,1809.02,81.4,1
59.75,2.3,12.0,215.7,2904.3,7.92,73.1,1107.12,66.68,0
75.92,4.21,23.0,201.12,2576.54,6.17,77.36,1233.95,79.09,1
76.71,3.72,24.6,214.53,2700.91,4.65,75.06,2141.71,75.35,1
51.02,0.79,12.12,224.81,2861.03,6.83,75.73,1194.68,60.4,0
63.17,1.89,17.57,216.74,2797.16,6.77,69.51,972.72,65.74,0
50.65,1.41,12.76,210.02,2932.34,7.92,64.04,795.66,65.97,0
42.15,2.84,15.52,210.87,2998.72,5.64,72.51,1180.41,48.37,0
61.13,2.56,11.37,215.76,2864.06,6.42,62.18,502.74,66.29,0
55.5,1.28,14.12,222.52,2983.87,5.96,66.71,1114.36,42.16,0
51.22,1.03,12.87,216.27,2812.8,6.3,62.43,355.41,60.03,0
51.02,0.85,13.28,213.14,2863.83,7.77,61.88,864.32,64.05,0
90.87,4.78,20.79,211.04,2618.77,5.78,78.77,2197.21,74.74,1
66.9,1.18,18.31,213.5,2906.33,7.37,63.94,71.93,44.58,0
94.76,4.53,22.6,211.58,2592.62,5.27,78.86,1518.17,84.07,1
48.75,0.7,18.29,218.59,2851.13,6.41,63.9,803.53,73.97,0
70.26,2.14,14.56,224.65,2777.68,6.56,60.76,887.88,72.13,0
65.84,1.07,16.88,213.23,2965.41,7.86,69.33,422.77,48.19,0
59.88,1.39,21.26,222.28,2995.89,6.15,77.46,517.48,52.16,0
47.45,2.51,16.51,222.49,2781.27,5.82,70.02,1135.65,54.52,0
55.46,1.54,18.96,223.4,2939.2,6.33,73.4,182.38,44.56,0
46.48,2.13,20.48,220.98,2951.64,7.15,72.46,1019.03,48.74,0
45.64,2.47,21.65,218.43,2928.69,5.67,67.52,139.63,61.45,0
45.9,2.78,21.82,224.19,2799.28,7.69,72.68,544.62,58.92,0
62.68,1.24,18.61,221.65,2918.35,7.04,76.06,94.35,51.58,0
55.37,0.63,21.04,217.05,2757.25,7.22,68.67,149.21,47.5,0
124.98,6.27,28.45,198.26,2582.72,4.71,100.09,3987.78,87.04,2
40.76,2.82,11.61,217.02,2901.47,6.57,60.49,940.2,40.37,0
51.51,2.49,19.02,222.18,2986.44,6.28,75.45,158.02,64.68,0
54.25,0.7,14.19,211.66,2952.06,7.87,61.3,1146.14,58.29,0
63.38,2.4,11.99,223.23,2856.87,5.91,60.23,671.71,58.46,0
40.49,2.45,18.03,221.98,2983.19,5.55,62.77,1063.41,56.05,0
42.39,1.06,16.67,214.37,2854.35,6.44,75.77,1086.36,57.25,0
72.78,2.98,19.5,213.01,2951.28,7.63,65.2,1142.71,41.75,0
61.04,2.63,21.41,213.67,2936.53,6.8,64.83,931.93,59.33,0
63.11,2.79,13.18,210.31,2770.54,7.92,65.32,923.07,61.86,0
61.92,0.94,12.27,222.89,2814.06,6.45,75.68,795.78,51.96,0
53.57,2.4,18.45,210.07,2791.74,7.28,71.99,1159.26,66.64,0
55.93,2.5,20.05,212.55,2754.79,7.45,70.97,839.57,69.34,0
73.27,3.08,12.74,213.3,2800.29,7.81,75.35,929.86,53.75,0
